epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
630.489125442,5.399,R,7826191,434217,4233,15094,2,14810927104,14640730112,52215808,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
635.489991454,5.399,D,7886749,437654,4267,15209,2,14913904640,14755495936,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
640.490872255,5.999,D,7952856,441334,4298,15331,2,15051071488,14891909120,52215808,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
645.491748060,5.599,D,8014554,444771,4334,15455,2,15171092480,15011270656,52215808,6552.45,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
650.492620968,5.799,D,8076242,448213,4373,15574,2,15274070016,15113576448,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
655.493591310,5.199,D,8133536,451402,4400,15691,2,15393988608,15232937984,52215808,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
660.494250543,4.799,D,8186420,454348,4426,15806,2,15496863744,15335247872,52215808,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
665.495267903,5.199,R,8247858,457547,4460,15933,2,15599738880,15437553664,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
670.496063388,5.599,R,8309016,460980,4493,16051,2,15736799232,15571648512,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
675.497001112,5.199,D,8362685,464173,4526,16169,2,15822635008,15658528768,52477952,0.00,31942.81,241664,163840,32,20,11776000,11526144,8192,8187,
680.500253489,3.997,S,8411167,466885,4555,16262,2,15908364288,15691239424,127713280,9005.34,14850628.00,241664,229376,32,20,11776000,11587584,8192,8187,
685.511575258,3.991,R,8452627,469137,4579,16362,2,16011132928,15514886144,464044032,608925.19,67653632.00,241664,229376,32,20,11776000,11587584,8192,8187,
690.517844409,3.396,D,8490525,471379,4605,16449,2,16062676992,15160283136,880852992,395996.31,83591216.00,241664,163840,32,20,11776000,11526144,8192,8187,
695.522516934,3.796,S,8534592,473849,4631,16558,2,16131362816,14862761984,1248903168,49924.55,73231120.00,241664,163840,32,20,11776000,11526144,8192,8187,
700.530950743,4.592,D,8583084,476565,4656,16656,2,16216989696,14533931008,1665196032,97320.64,83568176.00,241664,229376,32,20,11776000,11587584,8192,8187,
705.535524230,4.196,D,8627168,479029,4686,16754,2,16302821376,14240186368,2045820928,9821.42,76033312.00,241664,229376,32,20,11776000,11587584,8192,8187,
710.540395834,3.596,R,8671176,481426,4712,16836,2,16405487616,13983473664,2400501760,52377.77,70927688.00,241664,229376,32,20,11776000,11587584,8192,8187,
715.544900124,4.396,R,8719294,483952,4735,16925,2,16491216896,13741604864,2733162496,256997.28,66615496.00,241664,229376,32,20,11776000,11587584,8192,8187,
720.562998696,4.384,D,8763810,486663,4766,17032,2,16560009216,13450706944,3100426240,162432.84,73278440.00,241664,229376,32,20,11776000,11587584,8192,8187,
725.566545728,3.597,D,8803476,488886,4790,17134,2,16628592640,13169053696,3451961344,54028.87,70203152.00,241664,229376,32,20,11776000,11587584,8192,8187,
730.570581149,4.596,D,8856376,491846,4825,17247,2,16731365376,12925321216,3816845312,26193.26,73062824.00,241664,229376,32,20,11776000,11587584,8192,8187,
735.574363125,3.797,R,8900415,494271,4855,17347,2,16834134016,12545847296,4299735040,7367.23,96469752.00,241664,229376,32,20,11776000,11587584,8192,8187,
740.578128636,3.997,R,8944474,496708,4884,17446,2,16919863296,12255563776,4685524992,6548.67,77054904.00,241664,229376,32,20,11776000,11587584,8192,8187,
745.581511390,3.598,S,8984221,498995,4904,17535,2,16988553216,11970973696,5053399040,14735.63,73461216.00,241664,163840,32,20,11776000,11526144,8192,8187,
750.585023931,3.398,D,9019493,500966,4925,17611,2,17057136640,11713622016,5384179712,37656.75,66267688.00,241664,163840,32,20,11776000,11526144,8192,8187,
755.588477069,3.797,R,9063394,503297,4954,17711,2,17159909376,11455299584,5753323520,59760.33,73743424.00,241664,163840,32,20,11776000,11526144,8192,8187,
760.593794710,4.995,D,9116455,506415,4980,17816,2,17245745152,11129335808,6252183552,38461.50,99695464.00,241664,163840,32,20,11776000,11526144,8192,8187,
