epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
540.414966684,7.398,R,9725035,539754,5260,18222,2,18583117824,18407796736,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
545.416190034,8.798,D,9817833,545150,5312,18392,2,18771722240,18595364864,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
550.417065366,7.599,D,9901559,549817,5360,18553,2,18926034944,18748825600,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
555.417999782,7.999,D,9989691,554732,5403,18718,2,19080450048,18902286336,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
560.419022097,7.199,S,10073415,559399,5452,18876,2,19234660352,19055747072,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
565.419511871,7.799,D,10157152,564061,5494,19045,2,19406118912,19226263552,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
570.420207122,8.599,R,10253764,569220,5538,19212,2,19594616832,19413401600,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
575.421400121,7.998,R,10337830,574129,5588,19395,2,19749036032,19567292416,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
580.422287774,7.999,D,10425962,579044,5639,19583,2,19903451136,19720757248,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
585.423298351,7.399,D,10509696,583706,5695,19736,2,20074807296,19891269632,72278016,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
590.424252781,7.998,R,10597834,588616,5737,19887,2,20246265856,20061786112,72278016,0.00,0.00,241664,159744,32,20,11776000,11522048,8192,8187,
595.425112978,8.199,D,10685966,593531,5792,20061,2,20400680960,20215250944,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
600.426043051,7.599,D,10769700,598193,5836,20224,2,20572037120,20385763328,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
605.427125580,8.198,D,10862242,603351,5884,20409,2,20743495680,20556275712,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
610.428036441,7.799,D,10950380,608261,5937,20584,2,20914954240,20726792192,72278016,6552.41,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
615.428908258,7.599,R,11034093,612933,5985,20740,2,21069160448,20879929344,72278016,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
620.430002272,8.798,S,11131051,618334,6033,20906,2,21240725504,21050761216,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
625.431315961,8.398,D,11219192,623244,6079,21079,2,21412184064,21221289984,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
630.431966937,7.999,R,11311533,628200,6134,21256,2,21600686080,21393240064,72278016,0.00,0.00,241664,188416,32,20,11776000,11546624,8192,8187,
