epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,
620.281011076,55.990,S,12951370,731031,7344,25384,2,24865738752,23844732928,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
625.288160405,50.727,S,13026874,735715,7401,25584,2,24865738752,23844732928,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
630.288974776,67.189,R,13128411,741894,7472,25791,2,24865738752,23844737024,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
635.289423966,74.793,R,13242678,748818,7543,25995,2,24865738752,23844737024,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
640.289914499,75.593,S,13358198,755848,7606,26199,2,24865738752,23844741120,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
645.290372761,61.594,S,13451260,761541,7671,26414,2,24865738752,23844745216,0,0.00,0.00,241664,188416,32,21,2048000,1994752,256,245,
650.291125794,49.593,S,13526653,766129,7738,26645,2,24865738752,23844745216,0,0.00,0.00,241664,208896,32,20,2048000,2011136,256,244,
655.291948598,55.591,S,13613448,771292,7802,26878,2,24865738752,23844745216,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
660.292751923,53.591,R,13693172,776203,7866,27101,2,24865738752,23844749312,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
665.293329692,70.792,S,13801395,782789,7929,27320,2,24865738752,23844749312,0,0.00,0.00,241664,188416,32,20,2048000,1990656,256,244,
670.294051752,67.990,D,13903615,789069,7995,27529,2,24865738752,23844753408,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
675.294542556,56.394,R,13989337,794286,8071,27749,2,24868098048,23846281216,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
680.295356218,51.992,R,14068383,799096,8131,27970,2,24865775616,23844757504,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
685.296104938,51.592,R,14146801,803861,8198,28200,2,24868098048,23846285312,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
690.297161698,67.186,R,14248958,810085,8268,28424,2,24865738752,23844757504,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
695.297827851,65.591,R,14349215,816137,8337,28648,2,24868098048,23844757504,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
700.298400286,69.192,R,14453856,822554,8406,28853,2,24868098048,23846289408,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
705.299198574,51.592,S,14532290,827327,8476,29079,2,24865738752,23844761600,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
710.300102617,65.988,S,14633182,833437,8551,29278,2,24865738752,23844765696,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
715.300757624,80.789,R,14755999,840911,8624,29483,2,24865738752,23844769792,0,0.00,0.00,241664,172032,32,20,2048000,1978368,256,244,
720.301210179,67.994,R,14858780,847194,8695,29692,2,24868098048,23846297600,0,0.00,0.00,241664,172032,32,20,2048000,1978368,256,244,
725.301976947,65.390,R,14958464,853232,8771,29884,2,24865738752,23844773888,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
730.302425474,74.593,R,15072160,860151,8839,30079,2,24865738752,23844773888,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
735.302901319,74.793,D,15185249,867033,8920,30284,2,24865738752,23844777984,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
740.303322062,77.593,R,15303809,874248,8993,30496,2,24865738752,23844777984,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
745.303784896,70.793,R,15410855,880792,9060,30700,2,24865738752,23844782080,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
750.304225988,73.594,S,15523298,887605,9125,30906,2,24865738752,23844786176,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
755.304777014,71.192,S,15630952,894186,9186,31096,2,24865738752,23844786176,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
760.305347886,77.591,R,15748905,901364,9253,31307,2,24865738752,23844790272,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
765.305987436,69.191,R,15854659,907770,9317,31538,2,24865775616,23844790272,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
770.306552934,75.191,S,15968964,914726,9398,31736,2,24865738752,23844794368,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
775.307262063,65.991,S,16068715,920826,9473,31944,2,24865738752,23844798464,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
780.307904838,59.192,R,16158254,926266,9546,32157,2,24868098048,23845474304,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
785.308433235,79.192,R,16279469,933597,9620,32357,2,24868098048,23846424576,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
